IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100_N
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2003,56
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2007,71
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2011,70
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2015,89
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2019,96
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2014,89
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2018,96
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2006,57
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2010,65
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2009,66
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2013,89
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2017,96
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2005,52
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2000,27
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2008,66
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2012,75
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2016,89
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2023,99
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2021,99
1772666,Births attended by health personnel,COUNTRY,064,Bhutan,YEAR,2020,99
