IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2002,Female,1.614621712,0.886274296,2.640528978
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2003,Female,1.187611768,0.656794456,1.947698878
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2004,Female,1.27437807,0.706962245,2.108873116
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2005,Female,1.173267387,0.648787089,1.953860249
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2000,Female,1.864834275,0.978615669,3.076849164
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2001,Female,1.79754123,0.963054351,2.9394204839999998
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2007,Female,1.313102736,0.701979936,2.278611784
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2008,Female,1.486163382,0.774793796,2.635810596
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2009,Female,1.617219126,0.819650287,2.925492387
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2006,Female,1.160084412,0.62733929,1.97173631
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2010,Female,1.849548027,0.904081209,3.387294825
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2011,Female,2.26656046,1.07413406,4.281174733
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2012,Female,2.372677139,1.090568776,4.61358193
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2013,Female,2.120221244,0.952066003,4.153000018
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2017,Female,1.076029023,0.484506072,2.14511744
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2018,Female,1.312270641,0.600392799,2.602665218
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2019,Female,1.263848188,0.585711757,2.500665428
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2020,Female,1.410742656,0.654978073,2.810730542
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2021,Female,1.528908867,0.720155626,3.023249744
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2014,Female,1.723367467,0.76888962,3.400192789
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2015,Female,1.291239153,0.56878718,2.564520017
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2016,Female,1.084859387,0.483091606,2.165744865
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2002,Male,4.06462963,2.289797764,6.370670557
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2003,Male,2.953389181,1.689039928,4.653111094
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2004,Male,3.199786084,1.837478765,5.034175401
361734E,Homicide deaths,COUNTRY,064,Bhutan,YEAR,2005,Male,2.962051577,1.705602551,4.717136128
