IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2004,7.92
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2020,20.82
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2015,14.45
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2019,18.25
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2014,13.05
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2018,18.39
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2008,9.7
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2013,11.02
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2007,8.03
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2017,16.16
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2022,20.52
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2012,10.26
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2021,22.16
5C8435F,Density of nurses and midwives,COUNTRY,064,Bhutan,YEAR,2016,15.1
