IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,RATE_PER_100_N,RATE_PER_100_NL,RATE_PER_100_NU
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2000,Female,44.2,41.1,47.3
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2001,Female,43.4,40.6,46.2
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2008,Female,34.9,32.8,37.1
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2007,Female,36.6,34.5,38.8
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2006,Female,38.1,35.9,40.4
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2004,Female,40.5,38.1,43
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2005,Female,39.4,37.2,41.6
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2003,Female,41.6,39.2,44
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2002,Female,42.5,39.9,45.2
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2011,Female,29.7,27.8,31.8
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2009,Female,33.2,31.1,35.4
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2010,Female,31.4,29.4,33.6
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2015,Female,23.9,22.2,25.9
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2013,Female,26.6,24.8,28.7
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2014,Female,25.2,23.5,27.2
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2012,Female,28.1,26.2,30.1
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2022,Female,17.6,15.8,19.7
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2020,Female,18.5,16.8,20.4
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2021,Female,18,16.2,20
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2019,Female,19.3,17.6,21.1
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2017,Female,21.4,19.7,23.2
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2018,Female,20.2,18.6,22.1
5F8A486,Stunting in children (under 5),COUNTRY,064,Bhutan,YEAR,2016,Female,22.6,20.9,24.5
