IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,PERCENT_POP_N,PERCENT_POP_NL,PERCENT_POP_NU
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2000,Female,29.3,14.5,44.1
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2005,Female,23.4,14.2,32.6
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2007,Female,21.3,13.7,29
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2010,Female,18.7,12.6,24.7
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2015,Female,15,11.1,18.9
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2020,Female,12.1,9.1,15.2
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2030,Female,8,5.1,10.9
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2021,Female,11.6,8.9,14.3
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2022,Female,11.1,8.4,13.9
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2025,Female,9.9,6.9,12.8
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2000,Male,36.5,18.3,54.8
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2005,Male,33.4,20.3,46.6
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2007,Male,32.6,21,44.1
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2010,Male,31.1,22.3,39.9
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2015,Male,28.8,22.1,35.5
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2020,Male,27,20.7,33.4
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2030,Male,23.7,14.6,32.8
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2021,Male,26.5,19.5,33.6
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2022,Male,26.2,19.8,32.6
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2025,Male,25.3,18.3,32.4
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2000,Total,32.9,16.4,49.4
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2005,Total,28.4,17.3,39.6
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2007,Total,26.9,17.4,36.5
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2010,Total,24.9,17.5,32.3
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2015,Total,21.9,16.6,27.2
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2020,Total,19.6,14.9,24.3
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2030,Total,15.9,9.9,21.8
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2021,Total,19.1,14.2,24
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2022,Total,18.7,14.1,23.2
75DDA77,Tobacco use,COUNTRY,064,Bhutan,YEAR,2025,Total,17.6,12.6,22.6
