Property,Value
Name,Proportion of safely treated domestic wastewater flows (%)
Short name,Proportion of safely treated domestic wastewater flows (%)
Indicator unique identifier,A37BDD6
Indicator codes,WSH_DOMESTIC_WASTE_SAFELY_TREATED
Also known as,SDG indicator 6.3.1
SDG Goal,6.3.1 - Safely treated wastewater
Short description,Percentage of domestic wastewater flows that are safely treated.
Definition,"The percentage of domestic wastewater flows that are safely treated, calculated by measuring the volumes of wastewater which are generated through different activities, and the volumes of wastewater which are safely treated before discharge into the environment. Both of these indicators are measured in units of 1000 cubic meters per day, although some data sources may use other units that require conversion. The ratio of the volume treated to the volume generated is taken as the ‘proportion of wastewater flow safely treated’. Wastewater flows will be classified into industrial, services, and domestic flows, with reference to the International Standard Industrial Classification of All Economic Activities Revision 4 (ISIC). To the extent possible, the proportion of each of these waste streams that is safely treated before discharge to the environment will be calculated."
Direction of progress,Figures increasing over time demonstrates progress.
Indicator status,Actively collected and reported
Most recent data update,12 May 2025
Publishing institution,WHO
Data type,Float
Unit of measure,Percentage of wastewater flows that are safely treated.
Value display label,% of wastewater flows
Short value display label,%
Subject of measure,METROLOGY
Subject of measure sentiment,Positive
Preferred semantic value type,Per cent
Confidence intervals,No
Provenance,Official Estimate
First available data,31 December 2019
Most recent available data,31 December 2019
Data completeness,Complete data
Temporal coverage,2019 - 2020
Spatial coverage,World
Granularity,National
"Number of countries, areas and territories",115
