IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100_N
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2000,7.66199493
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2001,6.54652882
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2008,6.02861881
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2015,9.3686533
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2022,6.69145536
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2004,9.08555698
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2011,6.14636755
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2018,7.70324659
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2007,7.46379232
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2014,7.77876854
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2021,5.61295128
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2003,7.6382122
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2010,5.64934969
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2017,7.58420563
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2020,10.29558849
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2006,6.82967377
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2013,7.09804106
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2002,7.87970304
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2009,6.19368172
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2016,8.10247707
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2005,6.72386217
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2012,6.45828485
B9C6C79,General government expenditure on domestic health,COUNTRY,064,Bhutan,YEAR,2019,10.23985958
