Property,Value
Name,"Total net official development assistance to medical research and basic health per capita (US$), by recipient country"
Short name,Official development assistance (ODA) to medical research and basic health per capita (US$)
Indicator unique identifier,BBF3A64
Indicator codes,SDGODA01
Also known as,SDG indicator 3.b.2
SDG Goal,3.B.2 – Development assistance
Short description,Gross disbursements of total official development assistance from all donors to medical research and basic health sectors.
Definition,The gross disbursements of total official development assistance (ODA) from all donors to medical research and basic health sectors to each recipient country.
Direction of progress,Figures increasing over time demonstrates progress.
Indicator status,Actively collected and reported
Most recent data update,14 May 2024
Publishing institution,WHO
Data type,Float
Unit of measure,Total net official development assistance to medical research and basic health sectors per capita (US$)
Value display label,US dollars
Short value display label,US$
Subject of measure,METROLOGY
Subject of measure sentiment,Positive
Preferred semantic value type,Money
Confidence intervals,No
Provenance,"Country, Territory or Area Reported"
First available data,31 December 2015
Most recent available data,31 December 2019
Data completeness,Complete data
Temporal coverage,2015 - 2019
Periodicity,Annual
Spatial coverage,World
Granularity,National
"Number of countries, areas and territories",141
Geographic entities and groups,"Afghanistan, Albania, Algeria, Angola, Antigua and Barbuda, Argentina, Armenia, Azerbaijan, Bangladesh, Belarus, Belize, Benin, Bhutan, Bolivia (Plurinational State of), Bosnia and Herzegovina, Botswana, Brazil, Burkina Faso, Burundi, Cabo Verde, Cambodia, Cameroon, Central African Republic, Chad, Chile, China, Colombia, Comoros, Congo, Cook Islands, Costa Rica, Côte d'Ivoire, Cuba, Democratic People's Republic of Korea, Democratic Republic of the Congo, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, Fiji, Gabon, Gambia, Georgia, Ghana, Grenada, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Honduras, India, Indonesia, Iran (Islamic Republic of), Iraq, Jamaica, Jordan, Kazakhstan, Kenya, Kiribati, Kyrgyzstan, Lao People's Democratic Republic, Lebanon, Lesotho, Liberia, Libya, Madagascar, Malawi, Malaysia, Maldives, Mali, Marshall Islands, Mauritania, Mauritius, Mexico, Micronesia (Federated States of), Mongolia, Montenegro, Morocco, Mozambique, Myanmar, Namibia, Nauru, Nepal, Nicaragua, Niger, Nigeria, Niue, North Macedonia, Pakistan, Palau, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Republic of Moldova, Rwanda, Saint Lucia, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Senegal, Serbia, Seychelles, Sierra Leone, Solomon Islands, Somalia, South Africa, South Sudan, Sri Lanka, Sudan, Suriname, Syrian Arab Republic, Tajikistan, Thailand, Timor-Leste, Togo, Tokelau, Tonga, Tunisia, Türkiye, Turkmenistan, Tuvalu, Uganda, Ukraine, United Republic of Tanzania, Uruguay, Uzbekistan, Vanuatu, Venezuela (Bolivarian Republic of), Viet Nam, Yemen, Zambia, Zimbabwe"
Time intervals,"2016, 2017, 2018, 2019, 2020"
Method of measurement,The sum of ODA flows from all donors to developing countries for medical research and basic health sectors.
Method of estimation aggregates,Global and regional figures are based on the sum of ODA flows to medical research and basic health.
Rationale,Total official development assistance (ODA) flows to developing countries quantify the public effort that donors provide to developing countries for medical research and basic health.
Denominator,"Data in the Creditor Reporting System are available from 1973. However, the data coverage is considered complete from 1995 for commitments at an activity level and 2002 for disbursements."
Data collection process,"A statistical reporter is responsible for the collection of DAC statistics in each providing country/agency. This reporter is usually located in the national aid agency, Ministry of Foreign Affairs or Finance etc."
Preferred data sources,The OECD/DAC has been collecting data on official and private resource flows from 1960 at an aggregate level and 1973 at an activity level through the Creditor Reporting System (CRS data are considered complete from 1995 for commitments at an activity level and 2002 for disbursements). The data are reported by donors according to the same standards and methodologies
Expected frequency of data collection,"Data are reported on an annual calendar year basis by statistical reporters in national administrations (aid agencies, Ministries of Foreign Affairs or Finance, etc."
Data providers,"Statistical reporters in national administrations (aid agencies, Ministries of Foreign Affairs or Finance, etc."
Data compilers,OECD
