IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2002,218,167,276
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2005,190,146,241
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2001,212,163,268
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2004,190,145,240
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2000,239,183,302
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2003,201,154,254
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2006,171,131,216
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2013,186,143,235
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2023,164,126,208
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2009,203,155,256
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2016,190,146,241
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2019,164,126,208
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2012,197,151,249
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2022,164,126,208
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2015,163,124,206
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2008,175,134,221
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2011,218,167,275
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2018,148,113,187
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2014,182,139,230
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2021,164,126,208
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2007,184,141,233
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2017,143,110,181
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2010,234,179,295
C288D13,Tuberculosis cases,COUNTRY,064,Bhutan,YEAR,2020,164,126,208
