IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Degree of urbanization,PERCENT_POP_N
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2008,Rural,71.3371
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2007,Rural,71.3371
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2011,Rural,77.04537
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2006,Rural,71.3371
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2005,Rural,71.3371
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2010,Rural,75.14262
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2004,Rural,71.3371
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2009,Rural,73.23986
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2019,Rural,92.26742
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2014,Rural,82.75364
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2021,Rural,96.07294
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2016,Rural,86.55915
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2018,Rural,90.36467
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2013,Rural,80.85089
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2020,Rural,94.17018
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2015,Rural,84.6564
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2017,Rural,88.46191
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2022,Rural,96.07294
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2012,Rural,78.94813
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2008,Total,76.2976
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2007,Total,76.18313
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2011,Total,80.59157
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2006,Total,76.07014
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2005,Total,75.95865
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2010,Total,79.18509
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2004,Total,75.79
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2009,Total,77.75362
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2019,Total,90.91074
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2014,Total,84.65173
D1223E8,Population using hand-washing facilities with soap and water,COUNTRY,064,Bhutan,YEAR,2021,Total,93.2487
