IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,Age,RATE_PER_100_N,RATE_PER_100_NL,RATE_PER_100_NU
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,2013,Female,10 to 19 years,2.8596323,1.041968,5.982168
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,2013,Male,10 to 19 years,2.9246612,0.91955755,6.5834969
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,2013,Total,10 to 19 years,2.8938087,1.3671611,5.2081306
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,2020,Female,10 to 19 years,4.8400678,1.8538315,9.4246753
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,2020,Male,10 to 19 years,4.2348947,1.3697324,8.9647792
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,2020,Total,10 to 19 years,4.5301493,2.2540687,7.6512828
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1991,Female,10 to 19 years,0.58946535,0.065511791,2.0072727
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1991,Male,10 to 19 years,0.68378192,0.067388691,2.4348244
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1991,Total,10 to 19 years,0.63739759,0.1440118,1.7243616
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1990,Female,10 to 19 years,0.55433963,0.056409132,1.917758
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1990,Male,10 to 19 years,0.63786637,0.060900894,2.3127353
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1990,Total,10 to 19 years,0.59679556,0.1302928,1.6197704
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1992,Male,10 to 19 years,0.73390817,0.075373932,2.5634386
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1992,Total,10 to 19 years,0.68206536,0.1605931,1.8375251
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1993,Female,10 to 19 years,0.67109866,0.084387767,2.179083
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1993,Male,10 to 19 years,0.78872135,0.082697795,2.6957959
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1993,Total,10 to 19 years,0.73086931,0.17783506,1.9376762
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1992,Female,10 to 19 years,0.62850388,0.07212786,2.0926569
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1994,Female,10 to 19 years,0.71747783,0.091886212,2.3049273
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1994,Male,10 to 19 years,0.84795002,0.0942552,2.8755458
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1994,Total,10 to 19 years,0.78378059,0.19870014,2.0339828
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1995,Female,10 to 19 years,0.76789171,0.10444759,2.4261232
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1995,Male,10 to 19 years,0.91198394,0.10653638,3.025943
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,064,Bhutan,YEAR,1995,Total,10 to 19 years,0.84112221,0.22066596,2.1666501
